pl_name,ra,dec,sy_dist,X,Y,Z,pl_bmasse,color
11 Com b,185.1787793,17.7932516,93.1846,-88.36495785761475,-8.00884336609817,28.475644468901386,5434.7,n
11 UMi b,229.2745954,71.8239428,125.321,-25.505211604415894,-29.625963254448497,119.06779381201297,4684.8142,n
14 And b,352.82415,39.2358367,75.4392,57.97369156207769,-7.298956031050023,47.71634126965185,1131.1513,K
14 Her b,242.6021014,43.8163621,17.9323,-5.954230683777855,-11.487906661216746,12.415414644607335,1474.67,K
16 Cyg B b,295.4656422,50.5168243,21.1397,5.779530077610701,-12.135759682119696,16.31585992553967,556.83537,n
17 Sco b,243.4620874,-11.8377905,124.953,-54.640409763216894,-109.410346445,-25.633063037663355,1373.01872,K
18 Del b,314.6078375,10.8391378,76.222,52.57196068038417,-53.296592146202606,14.333718980832383,3273.5,G
1RXS J160929.1-210524 b,242.3762343,-21.0831403,139.135,-60.19337357234732,-115.02307500970464,-50.04995722567302,4000.0,n
24 Boo b,217.1555242,49.8446488,95.9863,-49.332600262608494,-37.385159749107956,73.36221213644909,280.64248,G
24 Sex b,155.8684866,-0.9023998,72.0691,-65.76278455147586,29.460533749249294,-1.1350304205226514,632.46,n
24 Sex c,155.8684866,-0.9023998,72.0691,-65.76278455147586,29.460533749249294,-1.1350304205226514,273.32,n
2M0437 b,69.3405531,26.8502997,128.484,40.44365463267619,107.26056143007777,58.03120727382231,1271.31363,M
2MASS J01033563-5515561 AB b,15.8992489,-55.2658291,,,,,4131.79,M
2MASS J01225093-2439505 b,20.7128012,-24.6646128,33.8281,28.75483294795686,10.87288836481269,-14.116664986866242,,n
2MASS J02192210-3925225 b,34.8427046,-39.4230767,,,,,4417.837,M
2MASS J04414489+2301513 b,70.4371079,23.0308544,,,,,2383.6,M
2MASS J12073346-3932539 b,181.8890906,-39.5484399,64.308,-49.56008347843912,-1.6346304859121388,-40.946855468822925,1589.15,M
2MASS J19383260+4603591 b,294.6359173,46.0664076,396.332,114.62756956149552,-249.95422848682946,285.41628927231596,591.16084,n
2MASS J22362452+4751425 b,339.1025931,47.861683,69.5737,43.608085014673456,-16.650047013057964,51.590799446276975,3972.875,K
30 Ari B b,39.2412736,24.6480103,44.657,31.43508768863432,25.675561202339804,18.623868232802064,3140.03,F
4 UMa b,130.0528099,64.3280504,73.4603,-20.47873759730914,24.35997555547671,66.20897653224323,2511.48007,K
42 Dra b,276.4975053,65.5633652,90.6545,4.2437873556140255,-37.26166798798509,82.5336097470812,1233.13,K
47 UMa b,164.8647611,40.4304931,13.7967,-10.137665731731706,2.742042201244645,8.94750629886708,778.6835,G
47 UMa c,164.8647611,40.4304931,13.7967,-10.137665731731706,2.742042201244645,8.94750629886708,171.621,n
47 UMa d,164.8647611,40.4304931,13.7967,-10.137665731731706,2.742042201244645,8.94750629886708,521.22,n
51 Eri b,69.4007424,-2.4738245,29.7575,10.45980976044312,27.828967749874593,-1.2844220497090255,635.66,F
51 Peg b,344.3675399,20.7690958,15.4614,13.921921575144374,-3.8955738125097237,5.482653945564871,148.738,n
55 Cnc b,133.1468373,28.3298154,12.5855,-7.576013248701932,8.082650470765472,5.972402772161929,266.9772,G
55 Cnc c,133.1468373,28.3298154,12.5855,-7.576013248701932,8.082650470765472,5.972402772161929,54.4738,n
55 Cnc d,133.1468373,28.3298154,12.5855,-7.576013248701932,8.082650470765472,5.972402772161929,1121.89,n
55 Cnc e,133.1468373,28.3298154,12.5855,-7.576013248701932,8.082650470765472,5.972402772161929,,n
55 Cnc f,133.1468373,28.3298154,12.5855,-7.576013248701932,8.082650470765472,5.972402772161929,45.766,n
6 Lyn b,97.6960311,58.1611753,54.6599,-3.86148858152001,28.575093000655855,46.435521252040004,762.8,K
61 Vir b,199.596455,-18.3157745,8.50332,-7.60495764806607,-2.707473424507093,-2.6722009372629936,5.11704,n
61 Vir c,199.596455,-18.3157745,8.50332,-7.60495764806607,-2.707473424507093,-2.6722009372629936,16.1139,n
61 Vir d,199.596455,-18.3157745,8.50332,-7.60495764806607,-2.707473424507093,-2.6722009372629936,22.9,G
7 CMa b,99.171276,-19.2561808,19.8101,-2.9808094069804616,18.462715011846296,-6.533222151481009,781.8618,n
7 CMa c,99.171276,-19.2561808,19.8101,-2.9808094069804616,18.462715011846296,-6.533222151481009,276.5121,n
70 Vir b,202.1064898,13.7763085,17.9011,-16.108011781575826,-6.542910775326758,4.26282256735223,2084.88,n
75 Cet b,38.0391598,-1.0350269,82.9613,65.32881158158216,51.112404782648625,-1.4985834520685377,953.49,G
75 Cet c,38.0391598,-1.0350269,82.9613,65.32881158158216,51.112404782648625,-1.4985834520685377,289.85951,G
8 UMi b,224.201685,74.9009379,162.552,-30.35524892891403,-29.52092669769689,156.94020024637686,416.3573,n
81 Cet b,39.4243555,-3.3963607,101.26,78.08228767322355,64.19311984894247,-5.998942888148896,1684.4,G
91 Aqr b,348.9745031,-9.0878076,44.0304,42.67520189368186,-8.314928852751402,-6.954511173847864,1017.0,K
AB Aur b,73.9410446,30.5510888,162.127,38.622545070507314,134.17161458083842,82.41019950253472,2860.45566,n
AB Pic b,94.8039208,-58.0541184,50.0475,-2.2176815367188984,26.388009147363427,-42.46771854115029,4290.5,K
AF Lep b,81.7699216,-11.9011752,26.8564,3.7618162777044613,26.00847226267716,-5.538441099655257,1017.0509,F
AU Mic b,311.2911369,-31.34245,9.7221,5.4792860893249316,-6.238886611451773,-5.05697006227821,20.12,n
AU Mic c,311.2911369,-31.34245,9.7221,5.4792860893249316,-6.238886611451773,-5.05697006227821,14.2,n
AU Mic d,311.2911369,-31.34245,9.7221,5.4792860893249316,-6.238886611451773,-5.05697006227821,1.053,n
BD+03 2562 b,177.5647268,2.7601075,1070.63,-1068.4221635128981,45.439085347161104,51.55547436724249,2034.112,n
BD+14 4559 b,318.4010002,14.6893834,49.352,35.699624896860016,-31.69449572562997,12.514616531141327,330.5432,n
BD+15 2375 b,176.4820239,14.6163182,768.045,-741.7885525085084,45.60333689412539,193.812283038132,337.21763,n
BD+15 2940 b,240.09564,15.5467507,426.42,-204.81492535010807,-356.1213586538503,114.29103492560301,352.78,K
BD+20 2457 b,154.186782,19.8912626,1539.71,-1303.381967498753,630.4504586697454,523.8650112979369,6807.63,K
BD+20 2457 c,154.186782,19.8912626,1539.71,-1303.381967498753,630.4504586697454,523.8650112979369,3963.17,K
BD+20 274 b,25.9203179,21.0052692,1322.51,1110.4259863345524,539.6805896792436,474.05874118762983,1334.886,K
BD+20 594 b,53.6511231,20.5990205,179.461,99.56612794341711,135.3007967756295,63.138982247379566,,n
BD+45 564 b,32.9470485,45.9242187,53.622,31.30113638446779,20.286092741639276,38.52313832385099,432.24663,K
BD+48 738 b,40.7102869,49.5869395,871.493,428.2670291915926,368.50155711631595,663.5465342832092,289.2253,K
BD+48 740 b,40.7425426,48.9300579,666.589,331.8018253426041,285.82350270139506,502.54688231429884,540.311,n
BD+49 828 b,45.6406187,49.7299481,442.042,199.7714236575565,204.2893775874317,337.28082996039495,508.5,K
BD+55 362 b,23.9636676,56.6982282,52.5697,26.37539724661704,11.723048521156123,43.9372497039103,228.83645,K
BD+60 1417 b,190.8875453,60.0143636,44.9543,-22.062971823684766,-4.243685112533585,38.93719943014589,4767.4261,K
BD+63 1405 b,271.3979337,63.6700064,38.0473,0.41169719493117957,-16.870493114488447,34.100058721117826,1258.60049,K
BD-00 4475 b,347.7108441,0.4085612,42.6402,41.66207795052824,-9.075542316519794,0.3040535235238859,7961.6016,G
BD-06 1339 b,88.2511811,-5.9963378,20.2695,0.6151982216666052,20.149207473118775,-2.1174512044608735,8.5,K
BD-06 1339 c,88.2511811,-5.9963378,20.2695,0.6151982216666052,20.149207473118775,-2.1174512044608735,53.0,K
BD-08 2823 b,150.1971964,-9.5165689,41.3342,-35.37377259313833,20.261049280205306,-6.833899635934696,12.7132,n
BD-08 2823 c,150.1971964,-9.5165689,41.3342,-35.37377259313833,20.261049280205306,-6.833899635934696,104.0,K
BD-10 3166 b,164.6191243,-10.7704227,84.4069,-79.95011259157643,21.993222044665064,-15.773472930788301,152.55,K
BD-11 4672 b,278.3688659,-11.6370481,27.1665,3.8726867461585175,-26.32475879727551,-5.47978958367871,206.5895,n
BD-11 4672 c,278.3688659,-11.6370481,27.1665,3.8726867461585175,-26.32475879727551,-5.47978958367871,15.37,n
BD-13 2130 b,114.2884692,-13.9066703,925.214,-369.41408587559977,818.600719942497,-222.36690460210272,3368.998,n
BD-17 63 b,7.1413494,-16.2273254,34.4603,32.83074321274115,4.113348386412626,-9.629898298582761,1620.9,K
BD-210397 b,33.3024198,-21.1962147,23.7324,18.493269638288936,12.148925666237822,-8.580757134528893,214.0,K
BD-210397 c,33.3024198,-21.1962147,23.7324,18.493269638288936,12.148925666237822,-8.580757134528893,1525.57635,K
CD Cet b,48.3530155,4.7751881,8.60715,5.699935283573475,6.409397583657284,0.7165134333579186,3.95,M
CFBDSIR J145829+101343 b,224.6208333,10.2286111,,,,,3337.1,n
CFHTWIR-Oph 98 b,246.934277,-23.98115,,,,,2479.06157,M
CHXR 73 b,166.6193985,-77.6258725,190.374,-39.68862084236593,9.440964410310917,-185.95144915443427,3994.486,M
CI Tau b,68.4667685,22.8416192,157.998,53.4440855263146,135.44528624629802,61.33247231209874,3686.828,K
COCONUTS-2 b,117.300914,-76.702696,10.8864,-1.1484549684327685,2.2250036496800307,-10.594532311734795,2002.31896,M
CT Cha b,166.0375038,-76.4553693,190.72,-43.34740221178853,10.777588617467304,-185.41565388359763,5403.0,n
CoRoT-1 b,102.0798591,-3.1021394,787.909,-164.6479049157752,769.33322613856,-42.63856056530318,,n
CoRoT-10 b,291.0636813,0.7460143,338.386,121.60743141770764,-315.74880294173073,4.405798548691827,874.0,K
CoRoT-11 b,280.6872998,5.9376586,655.037,120.8241156604565,-640.2213917861641,67.7611536446633,832.7146,n
CoRoT-12 b,100.7656871,-1.2964437,1126.37,-210.3441903889055,1106.261832451243,-25.48443704016237,,n
CoRoT-13 b,102.7211432,-5.0864557,1148.93,-252.00517914444902,1116.3142500684899,-101.86279830438376,423.03173,n
CoRoT-14 b,103.4242023,-5.5360385,1744.6,-403.1350818003198,1689.0188798293425,-168.30475157250387,2358.2986,n
CoRoT-16 b,278.5246658,-6.0026026,732.409,107.97350459494113,-720.3461211594126,-76.5906738257017,168.13207,n
CoRoT-17 b,278.699236,-6.612288,1176.12,176.70209655953713,-1154.8563625714276,-135.43044450844667,772.29,G
CoRoT-18 b,98.1724172,-0.0316045,764.889,-108.73081222747199,757.1212682135653,-0.4219147270541696,,n
CoRoT-19 b,97.0335983,-0.1707293,790.663,-96.81732383965064,784.7093950082116,-2.3560049607199036,,F
CoRoT-2 b,291.7770457,1.3836634,213.283,79.10403099060616,-198.0042072392557,5.150173355441789,,n
CoRoT-20 b,97.7204249,0.2268931,844.061,-113.3897966313425,836.403343750948,3.3424995342458543,,n
CoRoT-20 c,97.7204249,0.2268931,844.061,-113.3897966313425,836.403343750948,3.3424995342458543,5403.11,n
CoRoT-21 b,101.0526207,-0.2991544,,,,,705.5826,n
CoRoT-22 b,280.6671392,6.2191669,627.158,115.40563629188391,-612.6929781138252,67.94122935359027,12.2,G
CoRoT-23 b,279.7826586,4.3577516,1060.97,179.74957851086305,-1042.5202172961153,80.61653958107911,972.5598,n
CoRoT-24 b,101.922543,-3.7192892,591.555,-121.95146068404287,577.5748098596163,-38.37314526666267,5.7,K
CoRoT-24 c,101.922543,-3.7192892,591.555,-121.95146068404287,577.5748098596163,-38.37314526666267,28.0,K
CoRoT-25 b,280.6296561,6.5138223,1103.48,202.23401927494098,-1077.5430314871273,125.1819761045277,85.81,F
CoRoT-26 b,279.7504991,6.9697828,1045.18,175.70163649584967,-1022.4699292323951,126.82827424585201,165.26,G
CoRoT-27 b,278.4958319,5.5383811,1010.28,148.55944159410637,-994.5293407406255,97.50467229453244,3273.649,n
CoRoT-28 b,278.6883216,5.5736911,766.183,115.19189256674649,-753.8099522385294,74.41621652595077,152.87623,n
CoRoT-29 b,278.9020691,6.4795703,806.507,124.00655685075763,-791.7022584335,91.01345449061539,270.1555,K
CoRoT-3 b,292.0552827,0.1218359,768.771,288.67364681901114,-712.5122480987452,1.63474232984775,6814.2752,n
CoRoT-30 b,277.6011767,6.8359338,1032.23,135.5693710232572,-1015.8860269589899,122.86292675106289,921.707,G
CoRoT-31 b,94.820735,-4.4222978,2005.76,-168.0591504464442,1992.7142625784836,-154.6582272868475,266.9772,G
CoRoT-35 b,289.3143526,-2.7747085,1123.21,371.0670627952227,-1058.7509055850169,-54.373329228889645,349.61125,F
CoRoT-36 b,277.7510149,7.1833465,925.958,123.90235760161146,-910.2966321813655,115.78629013845396,216.12332,F
CoRoT-4 b,102.1946233,-0.6727861,726.412,-153.4316611819742,709.9720877866873,-8.529575297293313,232.33373,n
CoRoT-5 b,101.2772396,0.8152163,882.472,-172.55574346067328,865.346002356313,12.555572017332405,148.42,F
CoRoT-6 b,281.0725563,6.6632062,645.294,123.09285169122437,-629.004116156761,74.87535079299624,937.5985,n
CoRoT-7 b,100.9561682,-1.0630076,159.906,-30.386181859291955,156.96435357031535,-2.966563039455908,4.8,n
CoRoT-7 c,100.9561682,-1.0630076,159.906,-30.386181859291955,156.96435357031535,-2.966563039455908,13.289,G
CoRoT-7 d,100.9561682,-1.0630076,159.906,-30.386181859291955,156.96435357031535,-2.966563039455908,17.142,G
CoRoT-8 b,291.5885696,1.4262972,322.037,118.45327834286341,-299.35329753112455,8.015826599306513,68.65128,n
CoRoT-9 b,280.7866461,6.2040783,412.98,76.83751762147418,-403.3070395908384,44.63079768773493,268.88418,n
CoRoTID 223977153 b,100.1951714,9.2573953,576.683,-100.744476548852,560.1851301497369,92.77097009851785,,G
DE CVn b,201.7207198,45.5455449,30.5225,-19.858455741551836,-7.910959194333023,21.78718583104355,3823.2733,n
DENIS-P J082303.1-491201 b,125.7620668,-49.2003008,,,,,9057.77,L
DH Tau b,67.4231674,26.5493897,134.846,46.311131236263655,111.38226768296019,60.27199420476287,3496.13,n
DMPP-1 b,86.7761233,-10.6303217,62.5388,3.4566708400598176,61.368226112900075,-11.536626712321517,24.27,F
DMPP-1 c,86.7761233,-10.6303217,62.5388,3.4566708400598176,61.368226112900075,-11.536626712321517,9.6,F
DMPP-1 d,86.7761233,-10.6303217,62.5388,3.4566708400598176,61.368226112900075,-11.536626712321517,3.35,F
DMPP-1 e,86.7761233,-10.6303217,62.5388,3.4566708400598176,61.368226112900075,-11.536626712321517,4.13,F
DMPP-2 b,27.407731,-34.4590985,137.94,100.96925146308375,52.35477452922553,-78.04890417538554,138.89171,F
DMPP-3 A b,91.624382,-72.5126648,45.23,-0.3852752979039376,13.585926155301365,-43.13962301003016,2.58,K
DMPP-4 b,293.5826648,51.2358069,25.3284,6.3445511675856405,-14.534088637118781,19.749298330073966,12.2,F
DP Leo b,169.3162193,17.9615717,305.684,-285.7453657553341,53.908375038244266,94.26654181673554,1995.88832,n
DS Tuc A b,354.9154673,-69.196043,44.0622,15.588057774416857,-1.3869555988307443,-41.18939521076164,413.179,G
EPIC 201170410.02,170.1408561,-4.8070039,,,,,,n
EPIC 201238110 b,179.7058532,-3.3894613,159.259,-158.97831628967475,0.8161748428812565,-9.415831844610066,,n
EPIC 201427007 b,184.6021322,-0.5512886,706.391,-704.0809271772285,-56.67537763446049,-6.796648898199476,,n
EPIC 201497682 b,168.9366786,0.4880606,253.026,-248.3146817573525,48.55234403568474,2.155316307470546,,n
EPIC 201595106 b,183.7203635,1.9681688,232.1,-231.4742408909159,-15.051381914435508,7.9713051904972385,,n
EPIC 201615463 c,185.1880932,2.2823788,476.882,-474.5515501805709,-43.088141449854284,18.991582651649292,,n
EPIC 201754305 d,175.0972238,4.5574311,334.967,-332.68618067185247,28.537505168881143,26.615917750692734,,n
EPIC 201757695.02,173.9385102,4.6164303,,,,,,n
EPIC 201833600 c,169.483654,5.988289,257.443,-251.73749028726596,46.731075532802215,26.85778867323596,,n
EPIC 201841433 b,175.206752,6.1348146,436.488,-432.4705352068907,36.264242299869984,46.64670462403363,,n
EPIC 205950854 c,333.1100738,-16.3418863,243.935,208.77057420079018,-105.86920768950067,-68.63557704332159,,n
EPIC 206024342 b,331.2771441,-14.1218019,369.888,314.5721005300659,-172.38632933747994,-90.2467704112009,,n
EPIC 206024342 c,331.2771441,-14.1218019,369.888,314.5721005300659,-172.38632933747994,-90.2467704112009,,n
EPIC 206024342 d,331.2771441,-14.1218019,369.888,314.5721005300659,-172.38632933747994,-90.2467704112009,,n
EPIC 206032309 b,341.2404563,-13.9011223,161.365,148.3177104734844,-50.374631926514816,-38.76746629806767,,n
EPIC 206042996 b,337.5136198,-13.6101475,451.769,405.6997538732901,-167.9333660734986,-106.30768376451532,,n
EPIC 206042996 c,337.5136198,-13.6101475,451.769,405.6997538732901,-167.9333660734986,-106.30768376451532,,n
EPIC 206215704 b,335.0949721,-9.5097112,109.888,98.29949958495008,-45.63959371020394,-18.155120801468357,,n
EPIC 206317286 b,337.6178427,-7.972456,314.35,287.8589853667943,-118.54205318941627,-43.59941134049112,,n
EPIC 206317286 c,337.6178427,-7.972456,314.35,287.8589853667943,-118.54205318941627,-43.59941134049112,,n
EPIC 211822797 b,130.4102091,17.6399744,186.197,-115.02771516920905,135.10832541581107,56.424178818008585,,n
EPIC 211945201 b,136.5741931,19.4020565,181.69,-124.4614764152111,117.8036036806398,60.35650709244695,,n
EPIC 212297394 b,207.2061241,-17.6098985,418.395,-354.6693999723693,-182.32323708355656,-126.57894756875145,,n
EPIC 212297394 c,207.2061241,-17.6098985,418.395,-354.6693999723693,-182.32323708355656,-126.57894756875145,,n
EPIC 212424622 b,202.3313765,-14.3594358,611.804,-548.2398810942966,-225.20037001193447,-151.72989336383029,,n
EPIC 212499991 b,202.488752,-12.7347749,283.29,-255.308375195471,-105.69347623218597,-62.44795222427197,,n
EPIC 212587672 b,205.4445125,-10.8625468,320.07,-283.8450853288812,-135.04989134794766,-60.31831630232775,,n
EPIC 212587672 c,205.4445125,-10.8625468,320.07,-283.8450853288812,-135.04989134794766,-60.31831630232775,,n
EPIC 212624936 b,210.6376171,-10.0236852,561.929,-476.1079852660778,-281.99155376076624,-97.8067022982841,,n
EPIC 212624936 c,210.6376171,-10.0236852,561.929,-476.1079852660778,-281.99155376076624,-97.8067022982841,,n
EPIC 212737443 b,204.2215065,-7.3180577,336.25,-304.15077583502216,-136.82802626855175,-42.8305882099068,,n
EPIC 212737443 c,204.2215065,-7.3180577,336.25,-304.15077583502216,-136.82802626855175,-42.8305882099068,,K
EPIC 220492298 b,16.7615005,6.588798,624.512,594.0291487236445,178.91252385901436,71.6583380846906,,n
EPIC 220554210 c,13.4321524,7.9952914,496.289,478.0211361820302,114.16420944071898,69.02969047458203,,n
EPIC 220674823 b,13.0800239,10.7947051,244.59,234.02826191404205,54.37407731518632,45.80939250431809,9.0,n
EPIC 220674823 c,13.0800239,10.7947051,244.59,234.02826191404205,54.37407731518632,45.80939250431809,,n
EPIC 228836835 b,189.5748998,-5.2446247,150.124,-147.412885206416,-24.866601928283632,-13.722563888001888,,n
EPIC 229004835 b,186.4860415,-1.4047214,121.971,-121.15389207069124,-13.773844340014882,-2.9900650863049245,10.4,n
EPIC 246851721 b,78.9198197,16.2786991,372.632,68.74234190506805,351.02533936567863,104.45242446500181,953.49,F
EPIC 248847494 b,159.3890808,11.8427484,551.886,-505.5658976458374,190.13969678910743,113.26153733066172,4131.79,n
EPIC 249893012 b,228.2482353,-16.7246474,321.296,-204.90204896072447,-229.55911739792504,-92.46016205470623,8.75,G
EPIC 249893012 c,228.2482353,-16.7246474,321.296,-204.90204896072447,-229.55911739792504,-92.46016205470623,14.67,G
EPIC 249893012 d,228.2482353,-16.7246474,321.296,-204.90204896072447,-229.55911739792504,-92.46016205470623,10.18,G
FU Tau b,65.8974962,25.0506711,,,,,5085.28,M
G 264-012 b,326.6719598,66.803848,16.009,5.268595245694542,-3.4645123716625186,14.714861166984969,2.5,M
G 264-012 c,326.6719598,66.803848,16.009,5.268595245694542,-3.4645123716625186,14.714861166984969,3.75,M
G 9-40 b,134.7188514,21.0747961,27.9276,-18.33625922687496,18.51709895552287,10.04238445769812,,n
GJ 1002 b,1.6764641,-7.5462123,4.84867,4.804619499916755,0.1406224267202338,-0.6367554970496878,1.08,M
GJ 1002 c,1.6764641,-7.5462123,4.84867,4.804619499916755,0.1406224267202338,-0.6367554970496878,1.36,M
GJ 1061 b,54.0032486,-44.5143104,3.67278,1.5392711839455475,2.1188776584872655,-2.574939731146807,1.37,M
GJ 1061 c,54.0032486,-44.5143104,3.67278,1.5392711839455475,2.1188776584872655,-2.574939731146807,1.74,M
GJ 1061 d,54.0032486,-44.5143104,3.67278,1.5392711839455475,2.1188776584872655,-2.574939731146807,1.64,M
GJ 1132 b,153.7090696,-47.1549358,12.613,-7.68982777707051,3.799035136619295,-9.247791616906538,1.58,n
GJ 1132 c,153.7090696,-47.1549358,12.613,-7.68982777707051,3.799035136619295,-9.247791616906538,2.64,n
GJ 1148 b,175.4326081,42.7515862,11.0143,-8.062157354754289,0.6440479627743818,7.47673896152778,96.7,n
GJ 1148 c,175.4326081,42.7515862,11.0143,-8.062157354754289,0.6440479627743818,7.47673896152778,68.06,n
GJ 1151 c,177.7304866,48.3732334,8.03625,-5.334096560353229,0.2113967031327183,6.006999199370055,10.62,M
GJ 1214 b,258.8313991,4.9606795,14.6427,-2.8256194897193243,-14.311579742052583,1.266184455831145,,n
GJ 1252 b,306.9286462,-56.4622865,20.373,6.762704711521615,-8.997704300926744,-16.981350691209688,1.32,n
GJ 1265 b,333.4324675,-17.6870623,10.2525,8.736455264259707,-4.368700582238903,-3.1148933991927077,7.4,M
GJ 143 b,51.7501882,-63.500166,16.32,4.508165156772941,5.718618874750984,-14.605349878883429,,n
GJ 15 A b,4.6126677,44.0247296,3.56228,2.55312535988549,0.20598773160508035,2.475673393147363,5.43487,n
GJ 15 A c,4.6126677,44.0247296,3.56228,2.55312535988549,0.20598773160508035,2.475673393147363,36.0,M
GJ 160.2 b,61.6454173,-20.8564724,25.8557,11.474948542518424,21.262741246372094,-9.205357848904148,10.2,M
GJ 163 b,62.3228353,-53.3711768,15.1285,4.192523865669934,7.9933201008694414,-12.140885043967124,10.6,n
GJ 163 c,62.3228353,-53.3711768,15.1285,4.192523865669934,7.9933201008694414,-12.140885043967124,6.8,n
GJ 163 d,62.3228353,-53.3711768,15.1285,4.192523865669934,7.9933201008694414,-12.140885043967124,29.4,n
GJ 179 b,73.0245495,6.4752347,12.356,3.584468380367654,11.742259943173302,1.3934324013357082,239.00696,n
GJ 180 b,73.460097,-17.776194,11.9407,3.2370189381320467,10.900110741226598,-3.6454918341934337,6.49,n
GJ 180 c,73.460097,-17.776194,11.9407,3.2370189381320467,10.900110741226598,-3.6454918341934337,6.4,M
GJ 180 d,73.460097,-17.776194,11.9407,3.2370189381320467,10.900110741226598,-3.6454918341934337,7.56,n
GJ 2030 b,50.8237604,-7.7950429,37.0788,23.206532062652666,28.47812346266723,-5.028992255925233,4.76743,n
GJ 2030 c,50.8237604,-7.7950429,37.0788,23.206532062652666,28.47812346266723,-5.028992255925233,4069.15709,n
GJ 2056 b,108.0194945,-24.8921008,28.4434,-7.98131654784841,24.535558276427025,-11.972133050843297,16.2,n
GJ 229 A c,92.6435993,-21.8677233,5.75624,-0.246392448968213,5.336371571971281,-2.1439981680375118,8.58137,n
GJ 229 b,92.6435993,-21.8677233,5.75624,-0.246392448968213,5.336371571971281,-2.1439981680375118,14.93794,n
GJ 251 b,103.7002499,33.2664632,5.58057,-1.1051240996910814,4.5333153165309765,3.06112961014192,4.0,M
GJ 27.1 b,9.9980016,-44.2541679,23.6062,16.65120100593798,2.9354571737671002,-16.47341114283345,13.0,M
GJ 273 b,111.852091,5.225807,5.921535,-2.1949040886166413,5.473215236726943,0.5393401250222216,2.89,M
GJ 273 c,111.852091,5.225807,5.921535,-2.1949040886166413,5.473215236726943,0.5393401250222216,1.18,M
GJ 3021 b,4.0634323,-79.8514218,17.5559,3.0855976058145758,0.2191990472471239,-17.281222873473894,1071.04,G
GJ 3082 b,18.6432425,-53.9407751,16.6186,9.268770184530307,3.1270754117815462,-13.434625584488511,8.2,n
GJ 3090 b,20.4384281,-46.7147234,22.4751,14.439565037832802,5.381052869486414,-16.360725886829982,,n
GJ 3138 b,32.2977385,-16.3392495,28.4712,23.094251992255344,14.598304258748234,-8.009635892300167,1.78,M
GJ 3138 c,32.2977385,-16.3392495,28.4712,23.094251992255344,14.598304258748234,-8.009635892300167,4.18,M
GJ 3138 d,32.2977385,-16.3392495,28.4712,23.094251992255344,14.598304258748234,-8.009635892300167,10.5,M
GJ 317 b,130.2445254,-23.452809,15.1968,-9.00683338025469,10.64136295341123,-6.048229261039708,794.5,M
GJ 317 c,130.2445254,-23.452809,15.1968,-9.00683338025469,10.64136295341123,-6.048229261039708,522.5,n
GJ 3222 b,50.8972464,-40.0762325,18.23817,8.80200407168321,10.829800120622377,-11.741848177281963,11.44182,n
GJ 328 b,133.7819507,1.5420011,20.5266,-14.197535005540846,14.814391636010434,0.552365622885985,797.7493,M
GJ 328 c,133.7819507,1.5420011,20.5266,-14.197535005540846,14.814391636010434,0.552365622885985,21.4,M
GJ 3293 b,67.1484425,-25.1713396,20.1903,7.0962382617400115,16.838852033571793,-8.58747220164888,25.72,M
GJ 3293 c,67.1484425,-25.1713396,20.1903,7.0962382617400115,16.838852033571793,-8.58747220164888,21.09,M
GJ 3293 d,67.1484425,-25.1713396,20.1903,7.0962382617400115,16.838852033571793,-8.58747220164888,7.6,M
GJ 3293 e,67.1484425,-25.1713396,20.1903,7.0962382617400115,16.838852033571793,-8.58747220164888,3.28,M
GJ 3323 b,75.4868824,-6.9485133,5.37484,1.3370508282071283,5.165113336037841,-0.6502340611461962,2.02,M
GJ 3323 c,75.4868824,-6.9485133,5.37484,1.3370508282071283,5.165113336037841,-0.6502340611461962,2.31,M
GJ 3341 b,78.9471415,-31.2948458,23.619,3.869291096563944,19.808195054157295,-12.268706374614622,6.6,M
GJ 338 B b,138.5916722,52.6835211,6.33256,-2.8792372740033723,2.5391329698681666,5.036279642247648,10.6,M
GJ 3470 b,119.7735021,15.391209,29.4214,-14.08589469335714,24.62175575647767,7.808680561785836,,n
GJ 3473 b,120.5936065,3.3371629,27.3644,-13.90336812089323,23.515300010261335,1.5929242550520106,,n
GJ 3473 c,120.5936065,3.3371629,27.3644,-13.90336812089323,23.515300010261335,1.5929242550520106,7.41,n
GJ 3512 b,130.3316616,59.4918364,9.48637,-3.1168790101646824,3.671183038113517,8.173046929607247,146.20107,M
GJ 3512 c,130.3316616,59.4918364,9.48637,-3.1168790101646824,3.671183038113517,8.173046929607247,63.56568,M
GJ 357 b,144.0074644,-21.6650634,9.44181,-7.099650614767136,5.156785070810828,-3.485728755626178,1.84,M
GJ 357 c,144.0074644,-21.6650634,9.44181,-7.099650614767136,5.156785070810828,-3.485728755626178,3.4,M
GJ 357 d,144.0074644,-21.6650634,9.44181,-7.099650614767136,5.156785070810828,-3.485728755626178,6.1,M
GJ 3634 b,164.6433493,-31.1443383,20.3779,-16.818069740718627,4.6187812998998306,-10.539364208054492,8.4,M
GJ 367 b,146.121464,-45.7790165,9.41263,-5.450093170789409,3.659347746692934,-6.745610573950144,,n
GJ 367 c,146.121464,-45.7790165,9.41263,-5.450093170789409,3.659347746692934,-6.745610573950144,4.13,M
GJ 367 d,146.121464,-45.7790165,9.41263,-5.450093170789409,3.659347746692934,-6.745610573950144,6.03,M
GJ 3779 b,200.7335358,24.4639425,13.743,-11.699049439667386,-4.428529433005292,5.691258056811696,8.0,M
